x,y,spreed,ent,time
-1,-1,1,0,0
14,-26,1,27,0
-23,-19,1,23,0
17,5,1,29,0
-23,-23,1,21,0
-10,9,1,18,0
17,-4,1,16,0
-13,-6,1,15,0
-7,-24,1,17,0
-18,21,1,28,0
18,3,1,22,0
-14,7,1,19,0
-18,-24,1,25,0
16,-6,1,24,0
12,-13,1,20,0
-17,-24,1,26,0
-1,1,1,14,0
-2,2,1,4,0
3,3,1,5,0
-3,-4,1,11,0
9,9,1,9,0
-13,5,1,13,0
-1,-1,1,12,0
-6,-6,1,10,0
0,3,1,8,0
7,-4,1,2,0
-1,-3,1,3,0
-7,-1,1,1,0
-7,4,1,6,0
5,-4,1,7,0
-1,-2,1,0,1
-9,9,1,18,1
11,-13,1,20,1
-23,-24,1,21,1
-13,-5,1,15,1
-18,-23,1,25,1
-14,8,1,19,1
-22,-18,1,23,1
18,4,1,29,1
-7,-25,1,17,1
14,-25,1,27,1
-18,-24,1,26,1
15,-6,1,24,1
18,2,1,22,1
18,-4,1,16,1
-19,21,1,28,1
-2,1,1,14,1
6,-4,1,2,1
8,8,1,9,1
-6,-1,1,1,1
0,-4,1,3,1
2,2,1,5,1
-2,1,1,4,1
-2,0,1,12,1
-12,5,1,13,1
4,-5,1,7,1
-5,-7,1,10,1
-3,-3,1,11,1
-7,3,1,6,1
0,2,1,8,1
0,-3,1,0,2
17,1,1,22,2
10,-13,1,20,2
18,3,1,29,2
-20,22,1,28,2
13,-24,1,27,2
-22,-17,1,23,2
-19,-24,1,26,2
14,-7,1,24,2
-14,9,1,19,2
-12,-4,1,15,2
-24,-25,1,21,2
-18,-22,1,25,2
19,-3,1,16,2
-8,-25,1,17,2
-8,9,1,18,2
5,-5,1,2,2
-2,-2,1,11,2
0,1,1,8,2
-4,-7,1,10,2
-11,5,1,13,2
-7,2,1,6,2
4,-6,1,7,2
-2,0,1,12,2
7,7,1,9,2
-2,0,1,4,2
2,1,1,5,2
-3,0,1,14,2
-5,-2,1,1,2
0,-5,1,3,2
1,-4,1,0,3
-18,-21,1,25,3
19,-3,1,16,3
-7,9,1,18,3
12,-24,1,27,3
-20,-24,1,26,3
-9,-25,1,17,3
-13,9,1,19,3
-24,-26,1,21,3
13,-7,1,24,3
18,2,1,29,3
-12,-3,1,15,3
-21,22,1,28,3
9,-14,1,20,3
16,1,1,22,3
