x,y,spreed,ent,time
0,-1,1,0,0
20,16,1,26,0
20,22,1,17,0
11,10,1,16,0
6,20,1,29,0
16,1,1,20,0
-15,10,1,23,0
-10,15,1,15,0
22,-19,1,19,0
14,-23,1,18,0
14,15,1,28,0
-6,13,1,22,0
21,5,1,24,0
11,6,1,21,0
1,3,1,27,0
-5,7,1,25,0
10,10,1,1,0
-1,-11,1,7,0
4,6,1,13,0
-4,-9,1,11,0
-2,2,1,12,0
-5,4,1,8,0
1,-12,1,2,0
-5,3,1,10,0
3,-3,1,4,0
-2,3,1,9,0
-6,3,1,5,0
8,-2,1,6,0
-2,-5,1,3,0
6,3,1,14,0
0,-2,1,0,1
21,21,1,17,1
12,6,1,21,1
-6,7,1,25,1
7,20,1,29,1
2,4,1,27,1
17,0,1,20,1
14,14,1,28,1
-16,10,1,23,1
15,-23,1,18,1
-9,15,1,15,1
23,-20,1,19,1
12,11,1,16,1
20,5,1,24,1
-5,12,1,22,1
20,15,1,26,1
-1,2,1,12,1
-4,3,1,10,1
-3,2,1,9,1
4,5,1,13,1
9,9,1,1,1
-5,2,1,5,1
-5,5,1,8,1
0,-11,1,2,1
0,-12,1,7,1
5,3,1,14,1
7,-3,1,6,1
2,-4,1,4,1
-3,-8,1,11,1
-2,-4,1,3,1
1,-3,1,0,2
3,5,1,27,2
14,13,1,28,2
8,19,1,29,2
12,12,1,16,2
-7,8,1,25,2
21,20,1,17,2
-5,11,1,22,2
21,14,1,26,2
15,-24,1,18,2
-8,15,1,15,2
13,7,1,21,2
24,-19,1,19,2
19,4,1,24,2
-17,10,1,23,2
18,-1,1,20,2
0,-10,1,2,2
-3,3,1,10,2
-2,-7,1,11,2
-5,1,1,5,2
-4,2,1,9,2
4,4,1,14,2
6,-3,1,6,2
-1,-3,1,3,2
-4,6,1,8,2
1,-4,1,4,2
1,-13,1,7,2
4,4,1,13,2
8,9,1,1,2
0,1,1,12,2
2,-4,1,0,3
18,4,1,24,3
19,-1,1,20,3
25,-18,1,19,3
2,6,1,27,3
-8,16,1,15,3
12,13,1,16,3
-8,8,1,25,3
21,19,1,17,3
