x,y,spreed,ent,time
-1,0,1,0,0
-12,-23,1,15,0
11,-24,1,21,0
14,-22,1,17,0
16,-2,1,18,0
-10,-10,1,28,0
-2,-15,1,23,0
-8,-6,1,20,0
3,-4,1,25,0
-13,-17,1,16,0
-18,23,1,27,0
-5,2,1,26,0
1,-12,1,22,0
6,21,1,29,0
17,-7,1,19,0
-2,20,1,24,0
4,0,1,6,0
-7,-6,1,4,0
3,-4,1,13,0
-8,4,1,5,0
2,-5,1,12,0
-11,5,1,7,0
-1,4,1,3,0
-2,4,1,11,0
-5,-10,1,8,0
9,-3,1,14,0
-10,1,1,10,0
-3,-10,1,9,0
2,1,1,2,0
9,-1,1,1,0
-2,0,1,0,1
-2,21,1,24,1
-11,-24,1,15,1
-17,23,1,27,1
-6,2,1,26,1
18,-7,1,19,1
-1,-14,1,23,1
1,-13,1,22,1
13,-22,1,17,1
10,-24,1,21,1
-14,-16,1,16,1
16,-1,1,18,1
2,-4,1,25,1
-9,-9,1,28,1
6,20,1,29,1
-8,-6,1,20,1
-2,-9,1,9,1
8,-2,1,14,1
4,-3,1,13,1
2,0,1,2,1
0,3,1,3,1
-3,3,1,11,1
-11,0,1,10,1
-10,5,1,7,1
2,-4,1,12,1
-6,-5,1,4,1
-9,3,1,5,1
8,-1,1,1,1
5,-1,1,6,1
-5,-9,1,8,1
-3,-1,1,0,2
-10,-24,1,15,2
-9,-5,1,20,2
12,-21,1,17,2
15,0,1,18,2
-10,-8,1,28,2
19,-7,1,19,2
9,-25,1,21,2
-16,24,1,27,2
1,-4,1,25,2
0,-14,1,23,2
-14,-15,1,16,2
2,-14,1,22,2
-7,1,1,26,2
-1,22,1,24,2
6,19,1,29,2
7,-2,1,14,2
1,3,1,3,2
2,-1,1,2,2
-1,-9,1,9,2
6,-1,1,6,2
1,-3,1,12,2
-11,-1,1,10,2
-4,2,1,11,2
7,-1,1,1,2
-6,-8,1,8,2
5,-3,1,13,2
-9,4,1,7,2
-6,-4,1,4,2
-10,4,1,5,2
-4,-1,1,0,3
15,1,1,18,3
-15,24,1,27,3
-10,-7,1,28,3
0,22,1,24,3
-10,-5,1,20,3
1,-13,1,23,3
-9,-25,1,15,3
20,-7,1,19,3
-15,-14,1,16,3
3,-14,1,22,3
11,-21,1,17,3
9,-25,1,21,3
0,-4,1,25,3
6,18,1,29,3
-8,1,1,26,3
6,-2,1,14,3
6,-3,1,13,3
-1,-8,1,9,3
-8,3,1,7,3
7,-2,1,6,3
1,-2,1,2,3
-5,-4,1,4,3
-4,2,1,11,3
-11,4,1,5,3
2,2,1,3,3
-7,-7,1,8,3
6,-1,1,1,3
-11,-2,1,10,3
1,-2,1,12,3
-5,-1,1,0,4
-1,-3,1,25,4
-15,-13,1,16,4
4,-14,1,22,4
-9,-26,1,15,4
6,17,1,29,4
10,-21,1,17,4
2,-14,1,23,4
1,21,1,24,4
15,2,1,18,4
-11,-5,1,20,4
-14,24,1,27,4
9,-25,1,21,4
-11,-6,1,28,4
21,-7,1,19,4
-9,1,1,26,4
0,-1,1,12,4
7,-4,1,13,4
-8,2,1,7,4
1,-3,1,2,4
-7,-6,1,8,4
-11,-3,1,10,4
-12,5,1,5,4
6,-1,1,14,4
-5,1,1,11,4
5,-1,1,1,4
-4,-3,1,4,4
0,-7,1,9,4
8,-2,1,6,4
2,1,1,3,4
-6,-2,1,0,5
15,3,1,18,5
10,-24,1,21,5
-2,-3,1,25,5
-10,-25,1,15,5
-10,0,1,26,5
-12,-5,1,20,5
9,-21,1,17,5
22,-7,1,19,5
5,-14,1,22,5
-16,-13,1,16,5
-13,25,1,27,5
1,20,1,24,5
7,16,1,29,5
-11,-5,1,28,5
3,-15,1,23,5
4,-1,1,1,5
-8,-7,1,8,5
1,2,1,3,5
-11,-2,1,10,5
-4,1,1,11,5
-12,4,1,5,5
-8,1,1,7,5
5,0,1,14,5
-5,-3,1,4,5
7,-3,1,6,5
0,-4,1,2,5
-1,-7,1,9,5
-1,-1,1,12,5
6,-3,1,13,5
-6,-3,1,0,6
6,-14,1,22,6
8,-22,1,17,6
8,16,1,29,6
4,-15,1,23,6
-10,-1,1,26,6
-2,-3,1,25,6
14,4,1,18,6
11,-24,1,21,6
-13,-5,1,20,6
-10,-25,1,15,6
2,20,1,24,6
23,-8,1,19,6
-12,-5,1,28,6
-14,24,1,27,6
-16,-12,1,16,6
-10,-2,1,10,6
-6,-4,1,4,6
6,-4,1,6,6
4,0,1,14,6
-7,1,1,7,6
-2,-7,1,9,6
5,-3,1,13,6
-12,3,1,5,6
1,3,1,3,6
3,-1,1,1,6
-1,0,1,12,6
-4,0,1,11,6
0,-5,1,2,6
-8,-8,1,8,6
-6,-4,1,0,7
-10,-2,1,26,7
7,-22,1,17,7
-3,-2,1,25,7
24,-8,1,19,7
-15,24,1,27,7
14,5,1,18,7
4,-15,1,23,7
3,20,1,24,7
-14,-4,1,20,7
-12,-4,1,28,7
9,16,1,29,7
12,-24,1,21,7
-11,-24,1,15,7
-16,-11,1,16,7
6,-13,1,22,7
-2,1,1,12,7
2,-1,1,1,7
-7,-4,1,4,7
4,-3,1,13,7
-9,-2,1,10,7
-13,2,1,5,7
-9,-9,1,8,7
-3,-8,1,9,7
0,3,1,3,7
-3,-1,1,11,7
3,1,1,14,7
5,-4,1,6,7
-1,-5,1,2,7
-6,0,1,7,7
-7,-5,1,0,8
10,15,1,29,8
4,20,1,24,8
-16,-10,1,16,8
-13,-3,1,28,8
-15,-5,1,20,8
12,-25,1,21,8
