x,y,spreed,ent,time
12,-5,1,24,0
-25,-1,1,10,0
-26,7,1,28,0
18,1,1,7,0
-17,-8,1,14,0
-19,13,1,0,0
-6,-11,1,15,0
-22,8,1,16,0
8,-12,1,25,0
-12,-25,1,13,0
-20,18,1,26,0
15,-8,1,19,0
-16,-23,1,20,0
-15,1,1,2,0
6,16,1,5,0
1,10,1,3,0
-24,4,1,23,0
-19,13,1,4,0
6,4,1,6,0
17,3,1,1,0
20,-4,1,8,0
9,-6,1,29,0
22,-14,1,22,0
19,13,1,9,0
-25,12,1,17,0
-15,7,1,11,0
-6,-26,1,21,0
-10,-10,1,12,0
-16,-16,1,27,0
-2,-22,1,18,0
-16,1,1,2,1
7,-12,1,25,1
-15,-24,1,20,1
18,0,1,7,1
-6,-25,1,21,1
-18,13,1,4,1
-15,7,1,11,1
-25,7,1,28,1
20,14,1,9,1
-15,-17,1,27,1
7,16,1,5,1
18,4,1,1,1
-20,12,1,0,1
2,9,1,3,1
-26,-2,1,10,1
16,-7,1,19,1
-11,-25,1,13,1
-24,3,1,23,1
-20,19,1,26,1
-16,-8,1,14,1
8,-6,1,29,1
-5,-10,1,15,1
-25,11,1,17,1
22,-14,1,22,1
19,-5,1,8,1
-3,-21,1,18,1
7,5,1,6,1
-10,-9,1,12,1
11,-5,1,24,1
-23,8,1,16,1
-6,-24,1,21,2
-17,1,1,2,2
19,-5,1,8,2
6,-12,1,25,2
-24,8,1,16,2
-26,10,1,17,2
-4,-21,1,18,2
8,-7,1,29,2
-4,-10,1,15,2
8,6,1,6,2
21,14,1,9,2
10,-5,1,24,2
-20,20,1,26,2
-25,3,1,23,2
-25,-2,1,10,2
3,9,1,3,2
18,-1,1,7,2
-24,8,1,28,2
23,-13,1,22,2
-16,8,1,11,2
-10,-25,1,13,2
16,-6,1,19,2
-15,-8,1,14,2
-10,-8,1,12,2
18,5,1,1,2
-14,-23,1,20,2
7,15,1,5,2
-17,13,1,4,2
-21,12,1,0,2
-14,-16,1,27,2
18,-6,1,8,3
-5,-21,1,18,3
7,-7,1,29,3
-13,-24,1,20,3
-14,-7,1,14,3
8,7,1,6,3
-9,-25,1,13,3
-25,9,1,16,3
18,-2,1,7,3
24,-12,1,22,3
-17,1,1,2,3
-13,-16,1,27,3
21,15,1,9,3
7,14,1,5,3
-3,-10,1,15,3
-16,13,1,4,3
-21,11,1,0,3
-16,9,1,11,3
-10,-7,1,12,3
-7,-23,1,21,3
4,8,1,3,3
5,-12,1,25,3
9,-6,1,24,3
-24,-3,1,10,3
18,6,1,1,3
-24,9,1,28,3
-26,11,1,17,3
-26,2,1,23,3
16,-5,1,19,3
-20,21,1,26,3
4,-13,1,25,4
18,7,1,1,4
-18,0,1,2,4
6,-8,1,29,4
8,8,1,6,4
-8,-24,1,13,4
-21,10,1,0,4
24,-11,1,22,4
-6,-20,1,18,4
15,-4,1,19,4
6,13,1,5,4
-6,-22,1,21,4
17,-7,1,8,4
-15,13,1,4,4
-2,-10,1,15,4
-17,10,1,11,4
-13,-25,1,20,4
-13,-8,1,14,4
-13,-15,1,27,4
-23,9,1,28,4
-25,11,1,17,4
9,-7,1,24,4
-10,-6,1,12,4
-23,-3,1,10,4
22,16,1,9,4
-25,2,1,23,4
17,-2,1,7,4
-24,8,1,16,4
5,8,1,3,4
-20,22,1,26,4
3,-13,1,25,5
9,-8,1,24,5
17,8,1,1,5
16,-2,1,7,5
-12,-7,1,14,5
6,-9,1,29,5
-25,10,1,17,5
-1,-10,1,15,5
-23,8,1,16,5
-11,-5,1,12,5
-21,9,1,0,5
-12,-15,1,27,5
-18,10,1,11,5
-19,0,1,2,5
-24,1,1,23,5
-7,-20,1,18,5
-22,9,1,28,5
-22,-3,1,10,5
-15,13,1,4,5
-7,-24,1,13,5
-7,-21,1,21,5
15,-4,1,19,5
6,7,1,3,5
22,17,1,9,5
25,-11,1,22,5
-12,-25,1,20,5
-19,23,1,26,5
17,-8,1,8,5
5,13,1,5,5
8,9,1,6,5
-11,-25,1,20,6
-23,1,1,23,6
5,-10,1,29,6
4,13,1,5,6
17,-9,1,8,6
-21,-2,1,10,6
-6,-20,1,21,6
14,-3,1,19,6
-19,10,1,11,6
-11,-8,1,14,6
-21,10,1,28,6
8,10,1,6,6
-20,-1,1,2,6
21,18,1,9,6
