x,y,spreed,ent,time
-20,15,1,25,0
-1,-23,1,20,0
-25,-17,1,29,0
-21,20,1,21,0
8,-5,1,19,0
13,17,1,24,0
23,-1,1,27,0
12,-14,1,17,0
5,8,1,28,0
13,5,1,23,0
-7,7,1,3,0
21,10,1,7,0
0,18,1,10,0
-9,-7,1,6,0
7,14,1,5,0
14,-6,1,8,0
18,0,1,14,0
18,-24,1,16,0
-4,-13,1,2,0
13,6,1,4,0
-24,-21,1,1,0
9,-16,1,18,0
-18,-13,1,22,0
4,-7,1,15,0
9,17,1,11,0
-9,-16,1,12,0
15,24,1,9,0
8,-21,1,13,0
-19,-9,1,26,0
16,-15,1,0,0
9,-5,1,19,1
-24,-17,1,29,1
15,-14,1,0,1
-19,15,1,25,1
-9,-17,1,12,1
12,7,1,4,1
-19,-12,1,22,1
3,-8,1,15,1
14,-5,1,8,1
8,-16,1,18,1
20,9,1,7,1
0,19,1,10,1
-9,-6,1,6,1
18,-25,1,16,1
-19,-10,1,26,1
19,-1,1,14,1
-20,20,1,21,1
-24,-22,1,1,1
13,-13,1,17,1
-7,8,1,3,1
13,17,1,24,1
0,-23,1,20,1
14,6,1,23,1
-5,-14,1,2,1
9,16,1,11,1
6,9,1,28,1
6,14,1,5,1
7,-22,1,13,1
15,25,1,9,1
24,-1,1,27,1
24,-2,1,27,2
14,-14,1,0,2
8,-15,1,18,2
16,24,1,9,2
17,-26,1,16,2
-20,-11,1,22,2
-24,-22,1,1,2
-19,21,1,21,2
2,-8,1,15,2
-9,-5,1,6,2
14,-4,1,8,2
-8,-18,1,12,2
19,-2,1,14,2
5,14,1,5,2
-6,-14,1,2,2
-7,9,1,3,2
7,-23,1,13,2
-18,14,1,25,2
20,8,1,7,2
14,16,1,24,2
11,6,1,4,2
10,15,1,11,2
12,-13,1,17,2
6,8,1,28,2
15,6,1,23,2
9,-6,1,19,2
-19,-11,1,26,2
-24,-16,1,29,2
1,-23,1,20,2
0,20,1,10,2
13,-14,1,0,3
17,-25,1,16,3
4,15,1,5,3
14,15,1,24,3
10,-7,1,19,3
7,-24,1,13,3
25,-2,1,27,3
-7,-18,1,12,3
10,7,1,4,3
-19,22,1,21,3
7,7,1,28,3
2,-9,1,15,3
13,-3,1,8,3
16,23,1,9,3
-7,-14,1,2,3
-21,-11,1,22,3
0,21,1,10,3
-23,-23,1,1,3
20,7,1,7,3
-17,14,1,25,3
-19,-12,1,26,3
10,14,1,11,3
-9,-4,1,6,3
19,-3,1,14,3
16,6,1,23,3
7,-15,1,18,3
12,-12,1,17,3
-24,-15,1,29,3
2,-23,1,20,3
-8,9,1,3,3
16,7,1,23,4
20,6,1,7,4
0,22,1,10,4
6,-14,1,18,4
7,6,1,28,4
4,15,1,5,4
12,-3,1,8,4
-21,-10,1,22,4
-8,-14,1,2,4
11,14,1,11,4
17,22,1,9,4
11,-11,1,17,4
16,-26,1,16,4
-9,10,1,3,4
1,-9,1,15,4
12,-14,1,0,4
-20,-13,1,26,4
9,6,1,4,4
20,-3,1,14,4
-23,-24,1,1,4
10,-8,1,19,4
-6,-19,1,12,4
-16,13,1,25,4
3,-23,1,20,4
24,-3,1,27,4
-9,-3,1,6,4
-18,22,1,21,4
8,-25,1,13,4
15,14,1,24,4
-25,-14,1,29,4
8,5,1,28,5
-20,-13,1,26,5
-9,-2,1,6,5
1,-10,1,15,5
9,-25,1,13,5
3,16,1,5,5
11,-10,1,17,5
20,5,1,7,5
-22,-25,1,1,5
9,6,1,4,5
-9,-14,1,2,5
-22,-9,1,22,5
-17,23,1,21,5
-5,-19,1,12,5
4,-23,1,20,5
23,-2,1,27,5
16,-26,1,16,5
0,23,1,10,5
16,14,1,24,5
-25,-13,1,29,5
21,-3,1,14,5
12,14,1,11,5
17,8,1,23,5
17,21,1,9,5
-9,11,1,3,5
5,-13,1,18,5
11,-3,1,8,5
11,-8,1,19,5
12,-13,1,0,5
-16,13,1,25,5
17,9,1,23,6
-8,-2,1,6,6
11,-13,1,0,6
18,21,1,9,6
-22,-8,1,22,6
17,13,1,24,6
8,4,1,28,6
16,-25,1,16,6
-21,-14,1,26,6
0,24,1,10,6
10,-2,1,8,6
11,-9,1,17,6
-10,11,1,3,6
11,-9,1,19,6
-21,-25,1,1,6
10,-24,1,13,6
8,5,1,4,6
0,-11,1,15,6
-17,24,1,21,6
-15,13,1,25,6
22,-2,1,27,6
-4,-19,1,12,6
2,17,1,5,6
13,13,1,11,6
5,-12,1,18,6
-10,-14,1,2,6
5,-23,1,20,6
22,-3,1,14,6
-25,-14,1,29,6
19,4,1,7,6
-14,12,1,25,7
3,18,1,5,7
-22,-14,1,26,7
-3,-19,1,12,7
-17,23,1,21,7
16,-24,1,16,7
0,-12,1,15,7
-8,-1,1,6,7
-20,-24,1,1,7
18,10,1,23,7
11,-10,1,19,7
18,13,1,24,7
10,-23,1,13,7
23,-4,1,14,7
-26,-15,1,29,7
8,3,1,28,7
4,-11,1,18,7
7,5,1,4,7
-11,-13,1,2,7
18,3,1,7,7
10,-8,1,17,7
9,-2,1,8,7
14,13,1,11,7
-11,12,1,3,7
21,-2,1,27,7
1,25,1,10,7
-21,-7,1,22,7
6,-24,1,20,7
19,20,1,9,7
10,-13,1,0,7
-7,0,1,6,8
-11,13,1,3,8
11,-11,1,19,8
9,-12,1,0,8
9,-1,1,8,8
-3,-18,1,12,8
-19,-24,1,1,8
15,12,1,11,8
-12,-13,1,2,8
19,13,1,24,8
20,20,1,9,8
6,5,1,4,8
24,-4,1,14,8
17,-23,1,16,8
7,-24,1,20,8
20,-1,1,27,8
17,3,1,7,8
-13,12,1,25,8
-25,-15,1,29,8
-22,-6,1,22,8
10,-22,1,13,8
3,18,1,5,8
-1,-13,1,15,8
-18,23,1,21,8
-23,-15,1,26,8
7,3,1,28,8
9,-8,1,17,8
0,24,1,10,8
4,-11,1,18,8
18,11,1,23,8
-2,-18,1,12,9
-24,-14,1,29,9
-8,1,1,6,9
16,12,1,11,9
5,4,1,4,9
9,0,1,8,9
20,13,1,24,9
-12,-13,1,2,9
16,3,1,7,9
-21,-5,1,22,9
-1,-13,1,15,9
8,-11,1,0,9
17,12,1,23,9
11,-12,1,19,9
10,-21,1,13,9
8,-8,1,17,9
-12,12,1,25,9
-19,-23,1,1,9
20,19,1,9,9
8,-25,1,20,9
-19,22,1,21,9
4,-10,1,18,9
17,-22,1,16,9
6,2,1,28,9
4,18,1,5,9
-1,23,1,10,9
19,0,1,27,9
-24,-15,1,26,9
24,-4,1,14,9
-12,14,1,3,9
-13,-12,1,2,10
18,-22,1,16,10
7,-9,1,17,10
3,-9,1,18,10
-2,23,1,10,10
-25,-15,1,26,10
-11,12,1,25,10
-24,-13,1,29,10
21,19,1,9,10
-18,-22,1,1,10
18,0,1,27,10
17,12,1,23,10
8,-10,1,0,10
21,13,1,24,10
-7,2,1,6,10
7,-24,1,20,10
16,11,1,11,10
-12,14,1,3,10
11,-13,1,19,10
23,-4,1,14,10
15,2,1,7,10
-1,-18,1,12,10
5,18,1,5,10
5,3,1,4,10
9,1,1,8,10
6,1,1,28,10
10,-21,1,13,10
-2,-13,1,15,10
-20,22,1,21,10
-21,-5,1,22,10
14,2,1,7,11
8,-10,1,0,11
6,-24,1,20,11
-10,13,1,25,11
22,18,1,9,11
-13,15,1,3,11
19,-22,1,16,11
6,-9,1,17,11
-21,21,1,21,11
-3,-13,1,15,11
22,13,1,24,11
-13,-11,1,2,11
6,17,1,5,11
22,-4,1,14,11
-17,-22,1,1,11
3,-8,1,18,11
-7,3,1,6,11
11,-14,1,19,11
-26,-15,1,26,11
17,-1,1,27,11
17,10,1,11,11
0,-17,1,12,11
9,2,1,8,11
9,-20,1,13,11
-20,-4,1,22,11
16,13,1,23,11
-23,-13,1,29,11
-3,23,1,10,11
6,0,1,28,11
5,2,1,4,11
6,16,1,5,12
7,-9,1,0,12
-25,-14,1,26,12
20,-23,1,16,12
-22,-13,1,29,12
-4,-12,1,15,12
22,-3,1,14,12
14,2,1,7,12
-14,-11,1,2,12
22,13,1,24,12
5,1,1,4,12
18,10,1,11,12
-4,23,1,10,12
7,-1,1,28,12
5,-23,1,20,12
-7,4,1,6,12
2,-7,1,18,12
17,0,1,27,12
8,-20,1,13,12
12,-15,1,19,12
9,3,1,8,12
-14,16,1,3,12
-9,14,1,25,12
5,-8,1,17,12
-21,21,1,21,12
-19,-4,1,22,12
-16,-23,1,1,12
16,14,1,23,12
1,-17,1,12,12
23,19,1,9,12
-5,23,1,10,13
9,4,1,8,13
-24,-15,1,26,13
16,1,1,27,13
2,-17,1,12,13
-18,-4,1,22,13
-14,17,1,3,13
18,9,1,11,13
4,-23,1,20,13
-15,-10,1,2,13
2,-6,1,18,13
-5,-12,1,15,13
6,-8,1,0,13
21,-23,1,16,13
-8,14,1,25,13
-15,-22,1,1,13
-21,-12,1,29,13
5,0,1,4,13
21,-3,1,14,13
6,15,1,5,13
13,1,1,7,13
6,-2,1,28,13
11,-16,1,19,13
24,18,1,9,13
-6,4,1,6,13
4,-8,1,17,13
17,15,1,23,13
-22,20,1,21,13
23,13,1,24,13
7,-19,1,13,13
6,-7,1,0,14
-14,-22,1,1,14
-23,-16,1,26,14
4,-7,1,17,14
-6,22,1,10,14
25,17,1,9,14
3,-16,1,12,14
4,-22,1,20,14
16,16,1,23,14
6,14,1,5,14
6,-3,1,28,14
9,5,1,8,14
20,-2,1,14,14
11,-17,1,19,14
6,-19,1,13,14
12,1,1,7,14
19,8,1,11,14
2,-5,1,18,14
22,-23,1,16,14
-15,-9,1,2,14
24,14,1,24,14
5,-1,1,4,14
-23,19,1,21,14
16,2,1,27,14
-7,13,1,25,14
-6,5,1,6,14
-21,-11,1,29,14
-15,18,1,3,14
-17,-3,1,22,14
-6,-12,1,15,14
-13,-22,1,1,15
11,-18,1,19,15
-23,18,1,21,15
24,16,1,9,15
7,-4,1,28,15
21,-1,1,14,15
-6,13,1,25,15
4,-16,1,12,15
15,17,1,23,15
9,6,1,8,15
-22,-11,1,29,15
17,2,1,27,15
11,0,1,7,15
5,-19,1,13,15
5,-7,1,0,15
20,8,1,11,15
6,13,1,5,15
5,-2,1,4,15
-16,-8,1,2,15
23,-23,1,16,15
-23,-17,1,26,15
3,-6,1,17,15
-16,-4,1,22,15
-7,22,1,10,15
-7,-12,1,15,15
4,-21,1,20,15
1,-4,1,18,15
-6,6,1,6,15
23,14,1,24,15
-15,19,1,3,15
22,13,1,24,16
3,-6,1,17,16
-12,-22,1,1,16
-24,17,1,21,16
17,3,1,27,16
21,7,1,11,16
3,-20,1,20,16
-16,-7,1,2,16
-6,7,1,6,16
5,-3,1,4,16
-23,-11,1,29,16
-6,12,1,25,16
7,-4,1,28,16
10,0,1,7,16
5,12,1,5,16
21,0,1,14,16
4,-19,1,13,16
14,17,1,23,16
-8,-13,1,15,16
5,-16,1,12,16
-7,22,1,10,16
11,-19,1,19,16
-16,-5,1,22,16
24,-23,1,16,16
4,-6,1,0,16
0,-4,1,18,16
-23,-18,1,26,16
-15,19,1,3,16
9,7,1,8,16
24,15,1,9,16
3,-19,1,20,17
7,-5,1,28,17
21,6,1,11,17
13,17,1,23,17
-8,21,1,10,17
3,-19,1,13,17
5,-4,1,4,17
23,-24,1,16,17
2,-5,1,17,17
22,12,1,24,17
18,4,1,27,17
24,14,1,9,17
10,-20,1,19,17
-24,-11,1,29,17
4,-5,1,0,17
-15,-6,1,22,17
-12,-23,1,1,17
-16,-6,1,2,17
-24,-18,1,26,17
6,12,1,5,17
-23,16,1,21,17
-5,11,1,25,17
9,0,1,7,17
22,1,1,14,17
9,8,1,8,17
6,-17,1,12,17
-16,20,1,3,17
-7,8,1,6,17
0,-3,1,18,17
-8,-14,1,15,17
2,-18,1,13,18
-8,-15,1,15,18
8,-6,1,28,18
7,11,1,5,18
-8,8,1,6,18
8,0,1,7,18
-4,11,1,25,18
1,-5,1,17,18
13,17,1,23,18
-16,-5,1,2,18
-1,-2,1,18,18
24,13,1,9,18
5,-5,1,4,18
23,1,1,14,18
-24,15,1,21,18
6,-17,1,12,18
-24,-19,1,26,18
18,5,1,27,18
4,-4,1,0,18
-11,-24,1,1,18
-9,21,1,10,18
22,-24,1,16,18
9,9,1,8,18
2,-18,1,20,18
-25,-11,1,29,18
-15,-7,1,22,18
21,12,1,24,18
22,6,1,11,18
9,-20,1,19,18
-16,21,1,3,18
-26,-11,1,29,19
-4,10,1,25,19
8,11,1,5,19
20,12,1,24,19
-25,-20,1,26,19
-1,-1,1,18,19
9,10,1,8,19
6,-5,1,4,19
23,2,1,14,19
-11,-25,1,1,19
-8,9,1,6,19
8,-7,1,28,19
21,-23,1,16,19
-9,-15,1,15,19
18,6,1,27,19
-24,15,1,21,19
12,17,1,23,19
1,-18,1,13,19
-10,20,1,10,19
4,-4,1,0,19
7,-18,1,12,19
0,-5,1,17,19
23,6,1,11,19
9,-21,1,19,19
-16,22,1,3,19
24,13,1,9,19
-16,-4,1,2,19
-15,-8,1,22,19
8,0,1,7,19
1,-18,1,20,19
6,-6,1,4,20
-11,-26,1,1,20
9,11,1,5,20
20,-23,1,16,20
24,5,1,11,20
-25,-21,1,26,20
-2,-1,1,18,20
-25,14,1,21,20
23,12,1,9,20
-14,-8,1,22,20
8,-22,1,19,20
19,7,1,27,20
8,-18,1,12,20
7,-1,1,7,20
23,3,1,14,20
19,12,1,24,20
-17,-3,1,2,20
9,11,1,8,20
0,-18,1,13,20
-9,10,1,6,20
-3,9,1,25,20
-1,-5,1,17,20
-10,19,1,10,20
0,-17,1,20,20
9,-8,1,28,20
-17,23,1,3,20
-10,-15,1,15,20
-25,-11,1,29,20
11,18,1,23,20
4,-3,1,0,20
9,-9,1,28,21
-17,24,1,3,21
-10,10,1,6,21
23,4,1,14,21
-3,0,1,18,21
-10,-25,1,1,21
10,10,1,5,21
19,8,1,27,21
23,11,1,9,21
24,5,1,11,21
-11,-15,1,15,21
-17,-3,1,2,21
9,-19,1,12,21
-25,13,1,21,21
7,-7,1,4,21
0,-18,1,13,21
