x,y,spreed,ent,time
10,22,1,15,0
-25,-23,1,10,0
-2,-1,1,21,0
-10,16,1,29,0
-25,16,1,27,0
-3,17,1,26,0
-8,-24,1,0,0
22,7,1,14,0
0,9,1,6,0
-4,9,1,11,0
14,16,1,3,0
-15,18,1,20,0
8,5,1,25,0
-8,-9,1,4,0
24,5,1,23,0
-15,4,1,7,0
22,-19,1,17,0
-12,-17,1,18,0
-7,-18,1,9,0
0,-11,1,13,0
12,-2,1,22,0
-22,-7,1,8,0
0,21,1,12,0
-5,-18,1,28,0
-1,17,1,1,0
-25,9,1,2,0
-2,19,1,16,0
0,21,1,19,0
-1,1,1,5,0
6,24,1,24,0
-4,9,1,11,1
-23,-7,1,8,1
-7,-17,1,9,1
-8,-25,1,0,1
13,-2,1,22,1
9,5,1,25,1
-1,-10,1,13,1
-3,18,1,16,1
-3,-1,1,21,1
-7,-8,1,4,1
-25,-23,1,10,1
-11,-17,1,18,1
-24,16,1,27,1
14,17,1,3,1
-14,18,1,20,1
0,20,1,12,1
-1,9,1,6,1
5,24,1,24,1
-25,10,1,2,1
-16,4,1,7,1
-1,18,1,1,1
22,-18,1,17,1
22,8,1,14,1
11,23,1,15,1
24,6,1,23,1
-5,-19,1,28,1
-10,15,1,29,1
-4,16,1,26,1
1,21,1,19,1
0,0,1,5,1
5,23,1,24,2
-2,17,1,16,2
-24,11,1,2,2
14,-3,1,22,2
-23,-8,1,8,2
2,20,1,19,2
10,6,1,25,2
-9,14,1,29,2
1,0,1,5,2
-1,19,1,1,2
-3,0,1,21,2
-3,15,1,26,2
-7,-25,1,0,2
25,7,1,23,2
-10,-17,1,18,2
-13,18,1,20,2
-7,-8,1,4,2
1,19,1,12,2
21,9,1,14,2
-25,-22,1,10,2
-5,8,1,11,2
-1,-9,1,13,2
11,23,1,15,2
-17,4,1,7,2
13,18,1,3,2
-23,17,1,27,2
-5,-20,1,28,2
-8,-16,1,9,2
22,-18,1,17,2
-2,10,1,6,2
12,24,1,15,3
-9,-17,1,18,3
4,23,1,24,3
-6,8,1,11,3
15,-3,1,22,3
-6,-20,1,28,3
-2,20,1,1,3
13,19,1,3,3
-2,-8,1,13,3
-7,-24,1,0,3
-22,18,1,27,3
-8,-15,1,9,3
2,-1,1,5,3
